"","scen","method","power","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group","method.label"
"93",12,"ours.0.01",0.126,28,"ha.resid",1000,1,40,0,0.6,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Global (alpha=0.01)"
"94",12,"ours.0.05",0.128,28,"ha.resid",1000,1,40,0,0.6,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Global (alpha=0.05)"
"95",12,"Romano",0.224,28,"ha.resid",1000,1,40,0,0.6,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Romano"
"96",12,"Wstep",0.166,28,"ha.resid",1000,1,40,0,0.6,0.03,0.5,"X-Y correlation: 0.03 for 50% of pairs","Wstep"
"97",13,"bonf.naive",0.356,45,"ha.resid",1000,1,40,0,0,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Bonferroni"
"98",13,"holm",0.356,45,"ha.resid",1000,1,40,0,0,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Holm"
"100",13,"minP",0.358,45,"ha.resid",1000,1,40,0,0,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","minP"
"101",13,"ours.0.01",0.352,45,"ha.resid",1000,1,40,0,0,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Global (alpha=0.01)"
"102",13,"ours.0.05",0.71,45,"ha.resid",1000,1,40,0,0,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Global (alpha=0.05)"
"103",13,"Romano",0.51,45,"ha.resid",1000,1,40,0,0,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Romano"
"104",13,"Wstep",0.358,45,"ha.resid",1000,1,40,0,0,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Wstep"
"105",14,"bonf.naive",0.34,46,"ha.resid",1000,1,40,0,0.1,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Bonferroni"
"106",14,"holm",0.34,46,"ha.resid",1000,1,40,0,0.1,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Holm"
"108",14,"minP",0.34,46,"ha.resid",1000,1,40,0,0.1,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","minP"
"109",14,"ours.0.01",0.35,46,"ha.resid",1000,1,40,0,0.1,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Global (alpha=0.01)"
"110",14,"ours.0.05",0.53,46,"ha.resid",1000,1,40,0,0.1,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Global (alpha=0.05)"
"111",14,"Romano",0.466,46,"ha.resid",1000,1,40,0,0.1,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Romano"
"112",14,"Wstep",0.34,46,"ha.resid",1000,1,40,0,0.1,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Wstep"
"113",15,"bonf.naive",0.248,47,"ha.resid",1000,1,40,0,0.3,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Bonferroni"
"114",15,"holm",0.248,47,"ha.resid",1000,1,40,0,0.3,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Holm"
"116",15,"minP",0.278,47,"ha.resid",1000,1,40,0,0.3,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","minP"
"117",15,"ours.0.01",0.296,47,"ha.resid",1000,1,40,0,0.3,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Global (alpha=0.01)"
"118",15,"ours.0.05",0.364,47,"ha.resid",1000,1,40,0,0.3,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Global (alpha=0.05)"
"119",15,"Romano",0.404,47,"ha.resid",1000,1,40,0,0.3,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Romano"
"120",15,"Wstep",0.278,47,"ha.resid",1000,1,40,0,0.3,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Wstep"
"121",16,"bonf.naive",0.1,48,"ha.resid",1000,1,40,0,0.6,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Bonferroni"
"122",16,"holm",0.1,48,"ha.resid",1000,1,40,0,0.6,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Holm"
"124",16,"minP",0.164,48,"ha.resid",1000,1,40,0,0.6,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","minP"
"125",16,"ours.0.01",0.166,48,"ha.resid",1000,1,40,0,0.6,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Global (alpha=0.01)"
"126",16,"ours.0.05",0.19,48,"ha.resid",1000,1,40,0,0.6,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Global (alpha=0.05)"
"127",16,"Romano",0.272,48,"ha.resid",1000,1,40,0,0.6,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Romano"
"128",16,"Wstep",0.164,48,"ha.resid",1000,1,40,0,0.6,0.03,1,"X-Y correlation: 0.03 for 100% of pairs","Wstep"
"129",17,"bonf.naive",0.316,9,"ha.resid",1000,1,40,0,0,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Bonferroni"
"130",17,"holm",0.316,9,"ha.resid",1000,1,40,0,0,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Holm"
